CONTRACT_KEY,EMP_CODE,CONTRACT_CODE,CONTRACT_START_DATE,CONTRACT_END_DATE,PAID_HOURS,CONTRACT_QUALIF_CODE,CONTRACT_TYPE_CODE,DATE_DEBUT_CONTRAT,NUDOSS,QUALIFDESCRIPTION
40426_20150401_20171230,40426,C01,2017-09-03,2017-12-30 00:00:00,100.0,EMP     ,IE      ,2015-04-01,40426,Employé                                      
40426_20150401_29991231,40426,C01,2018-01-01,2999-12-31 00:00:00,50.0,EMP     ,IE      ,2015-04-01,40426,Employé                                      
40427_20150401_20170630,40427,C01,2015-04-01,2017-06-30 00:00:00,100.0,EMP     ,IE      ,2015-04-01,40427,Employé                                      
40427_20150401_20170731,40427,C01,2017-07-01,2017-07-31 00:00:00,100.0,EMP     ,IE      ,2015-04-01,40427,Employé                                      
40427_20150401_20170902,40427,C01,2017-08-01,2017-09-02 00:00:00,100.0,EMP     ,IE      ,2015-04-01,40427,Employé                                      
40427_20150401_20171230,40427,C01,2017-09-03,2017-12-30 00:00:00,100.0,EMP     ,IE      ,2015-04-01,40427,Employé                                      
40427_20150401_29991231,40427,C01,2018-01-01,2999-12-31 00:00:00,50.0,EMP     ,IE      ,2015-04-01,40427,Employé                                      
40428_20150401_20170630,40428,C01,2015-04-01,2017-06-30 00:00:00,100.0,EMP     ,IE      ,2015-04-01,40428,Employé                                      
40428_20150401_20170731,40428,C01,2017-07-01,2017-07-31 00:00:00,100.0,EMP     ,IE      ,2015-04-01,40428,Employé                                      
40428_20150401_20170902,40428,C01,2017-08-01,2017-09-02 00:00:00,100.0,EMP     ,IE      ,2015-04-01,40428,Employé                                      
40428_20150401_20171230,40428,C01,2017-09-03,2017-12-30 00:00:00,100.0,EMP     ,IE      ,2015-04-01,40428,Employé                                      
40428_20150401_29991231,40428,C01,2018-01-01,2999-12-31 00:00:00,50.0,EMP     ,IE      ,2015-04-01,40428,Employé                                      
40502_20170103_20170611,40502,C01,2017-01-03,2017-06-11 00:00:00,100.0,EMP     ,IE      ,2017-01-03,40502,Employé                                      
41361_20160101_29991231,41361,C01,2016-01-01,2999-12-31 00:00:00,100.0,EMP     ,IE      ,2016-01-01,41361,Employé                                      
41661_20170814_20140925,41661,C01,2014-09-01,2014-09-25 00:00:00,100.0,EMP     ,A1      ,2017-08-14,41661,Employé                                      
41661_20160903_20140925,41661,C01,2014-09-01,2014-09-25 00:00:00,100.0,EMP     ,A1      ,2016-09-03,41661,Employé                                      
41661_20150902_20140925,41661,C01,2014-09-01,2014-09-25 00:00:00,100.0,EMP     ,A1      ,2015-09-02,41661,Employé                                      
41661_20150701_20140925,41661,C01,2014-09-01,2014-09-25 00:00:00,100.0,EMP     ,A1      ,2015-07-01,41661,Employé                                      
41661_20150626_20140925,41661,C01,2014-09-01,2014-09-25 00:00:00,100.0,EMP     ,A1      ,2015-06-26,41661,Employé                                      
41661_20150406_20140925,41661,C01,2014-09-01,2014-09-25 00:00:00,100.0,EMP     ,A1      ,2015-04-06,41661,Employé                                      
41661_20150403_20140925,41661,C01,2014-09-01,2014-09-25 00:00:00,100.0,EMP     ,A1      ,2015-04-03,41661,Employé                                      
41661_20150227_20140925,41661,C01,2014-09-01,2014-09-25 00:00:00,100.0,EMP     ,A1      ,2015-02-27,41661,Employé                                      
41661_20150103_20140925,41661,C01,2014-09-01,2014-09-25 00:00:00,100.0,EMP     ,A1      ,2015-01-03,41661,Employé                                      
41661_20141222_20140925,41661,C01,2014-09-01,2014-09-25 00:00:00,100.0,EMP     ,A1      ,2014-12-22,41661,Employé                                      
41661_20140901_20140925,41661,C01,2014-09-01,2014-09-25 00:00:00,100.0,EMP     ,A1      ,2014-09-01,41661,Employé                                      
41661_20140801_20140925,41661,C01,2014-09-01,2014-09-25 00:00:00,100.0,EMP     ,A1      ,2014-08-01,41661,Employé                                      
41402_20160101_29991231,41402,C01,2016-01-01,2999-12-31 00:00:00,100.0,EMP     ,IE      ,2016-01-01,41402,Employé                                      
41661_20170814_20140822,41661,C01,2014-08-01,2014-08-22 00:00:00,100.0,EMP     ,A1      ,2017-08-14,41661,Employé                                      
41661_20160903_20140822,41661,C01,2014-08-01,2014-08-22 00:00:00,100.0,EMP     ,A1      ,2016-09-03,41661,Employé                                      
41661_20150902_20140822,41661,C01,2014-08-01,2014-08-22 00:00:00,100.0,EMP     ,A1      ,2015-09-02,41661,Employé                                      
41661_20150701_20140822,41661,C01,2014-08-01,2014-08-22 00:00:00,100.0,EMP     ,A1      ,2015-07-01,41661,Employé                                      
41661_20150626_20140822,41661,C01,2014-08-01,2014-08-22 00:00:00,100.0,EMP     ,A1      ,2015-06-26,41661,Employé                                      
41661_20150406_20140822,41661,C01,2014-08-01,2014-08-22 00:00:00,100.0,EMP     ,A1      ,2015-04-06,41661,Employé                                      
41661_20150403_20140822,41661,C01,2014-08-01,2014-08-22 00:00:00,100.0,EMP     ,A1      ,2015-04-03,41661,Employé                                      
41661_20150227_20140822,41661,C01,2014-08-01,2014-08-22 00:00:00,100.0,EMP     ,A1      ,2015-02-27,41661,Employé                                      
41661_20150103_20140822,41661,C01,2014-08-01,2014-08-22 00:00:00,100.0,EMP     ,A1      ,2015-01-03,41661,Employé                                      
41661_20141222_20140822,41661,C01,2014-08-01,2014-08-22 00:00:00,100.0,EMP     ,A1      ,2014-12-22,41661,Employé                                      
41661_20140901_20140822,41661,C01,2014-08-01,2014-08-22 00:00:00,100.0,EMP     ,A1      ,2014-09-01,41661,Employé                                      
41661_20140801_20140822,41661,C01,2014-08-01,2014-08-22 00:00:00,100.0,EMP     ,A1      ,2014-08-01,41661,Employé                                      
43841_20140701_29991231,43841,C01,2017-12-03,2999-12-31 00:00:00,100.0,PRE     ,IE      ,2014-07-01,43841,Prépensionné                                 
43842_20140701_20171014,43842,C01,2014-07-01,2017-10-14 00:00:00,100.0,EMP     ,IE      ,2014-07-01,43842,Employé                                      
43842_20140701_29991231,43842,C01,2017-10-15,2999-12-31 00:00:00,100.0,PRE     ,IE      ,2014-07-01,43842,Prépensionné                                 
43843_20170101_29991231,43843,C01,2017-01-01,2999-12-31 00:00:00,100.0,ETM     ,IE      ,2017-01-01,43843,Etudiant mensuel                             
43844_20140701_29991231,43844,C01,2014-07-01,2999-12-31 00:00:00,100.0,EMP     ,IE      ,2014-07-01,43844,Employé                                      
43845_20150701_29991231,43845,C01,2015-07-01,2999-12-31 00:00:00,100.0,EMP     ,IE      ,2015-07-01,43845,Employé                                      
43846_20170101_29991231,43846,C01,2017-01-01,2999-12-31 00:00:00,100.0,ETM     ,IE      ,2017-01-01,43846,Etudiant mensuel                             
43847_20150701_20171118,43847,C01,2015-07-01,2017-11-18 00:00:00,100.0,EMP     ,IE      ,2015-07-01,43847,Employé                                      
43847_20150701_20171126,43847,C01,2017-11-19,2017-11-26 00:00:00,80.0,EMP     ,IE      ,2015-07-01,43847,Employé                                      
43847_20150701_29991231,43847,C01,2017-11-27,2999-12-31 00:00:00,100.0,EMP     ,IE      ,2015-07-01,43847,Employé                                      
43848_20150701_20171225,43848,C01,2015-07-01,2017-12-25 00:00:00,100.0,EMP     ,IE      ,2015-07-01,43848,Employé                                      
43848_20150701_29991231,43848,C01,2017-12-26,2999-12-31 00:00:00,50.0,EMP     ,IE      ,2015-07-01,43848,Employé                                      
