ENTRY_EXIT_KEY,EMP_CODE,ENTRY_DATE,EXIT_DATE,ENTRY_PATTERN_CODE,EXIT_PATTERN_CODE,REASON_EXIT_CODE,LIB_ENTRY_PATTERN,LIB_EXIT_PATTERN,LIB_REASON_EXIT
839_20140101_20141001,839,2014-01-01,2014-10-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
841_20140101_20141101,841,2014-01-01,2014-11-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
842_20140101_20141001,842,2014-01-01,2014-10-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
843_20150101_20151001,843,2015-01-01,2015-10-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
846_20140101_20141001,846,2014-01-01,2014-10-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
847_20140101_20141001,847,2014-01-01,2014-10-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
781_20140101_20141001,781,2014-01-01,2014-10-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
794_20140101_20141001,794,2014-01-01,2014-10-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
796_20150101_20150304,796,2015-01-01,2015-03-04,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
851_20140101_20141001,851,2014-01-01,2014-10-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
852_20140101_20141001,852,2014-01-01,2014-10-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
853_20140101_20141101,853,2014-01-01,2014-11-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
855_20140101_20141101,855,2014-01-01,2014-11-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
857_20140101_20141001,857,2014-01-01,2014-10-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
858_20150101_20151001,858,2015-01-01,2015-10-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
860_20140101_20140801,860,2014-01-01,2014-08-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
861_20150101_20151001,861,2015-01-01,2015-10-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
4641_20150801_20151031,4641,2015-08-01,2015-10-31,002,004,ENDCTR,Réembauche                                   ,Sortie                                       ,Fin de contrat                               
123363_20190101_20190530,123363,2019-01-01,2019-05-30,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
123482_20180723_20180820,123482,2018-07-23,2018-08-20,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
123482_20180906_20180906,123482,2018-09-06,2018-09-06,002,004,DEMISS,Réembauche                                   ,Sortie                                       ,Démission                                    
123642_20190101_20210131,123642,2019-01-01,2021-01-31,001,004,DECEAS,Nouvelle entrée                              ,Sortie                                       ,Décédé                                       
864_20140101_20140505,864,2014-01-01,2014-05-05,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
882_20140101_20150202,882,2014-01-01,2015-02-02,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
894_20140101_20141001,894,2014-01-01,2014-10-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
895_20140101_20141001,895,2014-01-01,2014-10-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
896_20140101_20141001,896,2014-01-01,2014-10-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
897_20140101_20141001,897,2014-01-01,2014-10-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
898_20140101_20141001,898,2014-01-01,2014-10-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
899_20140101_20141001,899,2014-01-01,2014-10-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
917_20140101_20141101,917,2014-01-01,2014-11-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
918_20140101_20140901,918,2014-01-01,2014-09-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
919_20140101_20141201,919,2014-01-01,2014-12-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
920_20140101_20141001,920,2014-01-01,2014-10-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
921_20140101_20140101,921,2014-01-01,2014-01-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
922_20140101_20141010,922,2014-01-01,2014-10-10,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
923_20140101_20140501,923,2014-01-01,2014-05-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
924_20140101_20140601,924,2014-01-01,2014-06-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
926_20140101_20140601,926,2014-01-01,2014-06-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
927_20140301_20140801,927,2014-03-01,2014-08-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
928_20140101_20140601,928,2014-01-01,2014-06-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
929_20140101_20140303,929,2014-01-01,2014-03-03,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
8921_20150101_20150608,8921,2015-01-01,2015-06-08,001,004,VOLUNT,Nouvelle entrée                              ,Sortie                                       ,Interruption volontaire                      
1541_20130301_20200309,1541,2013-03-01,2020-03-09,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
1581_20120301_20141030,1581,2012-03-01,2014-10-30,001,004,FINCON,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
1361_20150101_20160601,1361,2015-01-01,2016-06-01,001,004,DECES ,Nouvelle entrée                              ,Sortie                                       ,"Décès, disparition                           "
885_20140201_20141212,885,2014-02-01,2014-12-12,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
906_20140101_20141001,906,2014-01-01,2014-10-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
908_20140101_20141001,908,2014-01-01,2014-10-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
909_20140101_20141001,909,2014-01-01,2014-10-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
910_20140101_20150401,910,2014-01-01,2015-04-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
914_20140501_20150201,914,2014-05-01,2015-02-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
915_20140101_20150601,915,2014-01-01,2015-06-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
916_20130101_20131001,916,2013-01-01,2013-10-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
1881_20150101_20151001,1881,2015-01-01,2015-10-01,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
16501_20150401_20150901,16501,2015-04-01,2015-09-01,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
17101_20160508_20170301,17101,2016-05-08,2017-03-01,002,004,DEMISS,Réembauche                                   ,Sortie                                       ,Démission                                    
17401_20150101_20220411,17401,2015-01-01,2022-04-11,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
17541_20150101_20160210,17541,2015-01-01,2016-02-10,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
17701_20150101_20151215,17701,2015-01-01,2015-12-15,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
17182_20150101_20161010,17182,2015-01-01,2016-10-10,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
17721_20150101_20151210,17721,2015-01-01,2015-12-10,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
17861_20150101_20150115,17861,2015-01-01,2015-01-15,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
